INDIVIDUALID,SCORE,TARGET
202961518,1315,0
786366882,1000,0
988183346,1000,0
596427074,1000,0
722667692,1000,0
637481767,1315,0
1218717098,1250,0
225967461,1497,0
157184463,880,0
2293984094,1149,0
135962118,1443,0
12079118,1155,0
1939337502,1155,0
145546166,1155,0
2485866694,1315,0
1072855281,1470,0
2966004064,1160,0
8643694,1315,0
13927622,1315,0
819552764,1801,0
1086150982,1315,0
1802721636,1160,0
2971341197,972,0
1833717026,1337,0
568918449,1155,0
1925741110,1315,0
17577058,1160,0
1258549418,1315,0
64936553,1315,0
1570604708,1785,0
22038636,753,0
1175761584,1160,0
165904617,1315,0
7251929,1288,0
21647048,1155,0
2065962374,1000,0
254225074,1155,0
18647164,839,0
1145535715,1315,0
12883618,1497,0
208065736,1603,0
196011466,967,0
2487219729,1155,0
94521055,1315,0
1251461479,1315,0
135753364,1337,0
110264031,1625,0
11497117,1155,0
41320903,1155,0
25781662,1155,0
2284559457,1443,0
692589980,1795,0
165376939,1785,0
213117263,1315,0
49451962,908,0
108795084,1000,0
42363418,1155,0
1003255684,1155,0
1304122076,1155,0
829509082,1155,0
125890724,1337,0
1162907126,1342,0
81684129,1160,0
665562072,1000,0
1089041433,1641,0
2488255530,1415,0
1799672014,1000,0
1137709748,1160,0
35886133,1155,0
2966753111,1443,0
31413235,1288,0
1671439898,967,0
569505587,1000,0
708781758,2103,0
126869564,1155,0
2145157131,1000,0
570164491,967,0
180670111,753,0
1599265406,1000,0
862235821,967,0
121022334,2089,0
1925687791,1000,0
1941249345,1000,0
2803508936,1337,0
1085252484,1155,0
700001408,1155,0
51071738,1155,0
19472823,1315,0
752808770,1149,0
91685120,1929,0
67365070,1315,0
104718668,1000,0
1098204932,1160,0
332574479,796,0
857442377,1000,0
148519992,1000,0
55484566,1155,0
1799251509,994,0
223857038,1443,0
2520194579,924,0
2219534878,951,0
314602301,1000,0
55887902,1337,0
1165592560,1160,0
70177351,1315,0
670055982,780,0
1165592560,1160,0
738915979,1155,0
2175815277,1155,0
2185567470,1155,0
191842142,1000,0
191178927,549,0
52848541,1000,0
164190844,1155,0
209231742,829,0
755646082,812,0
2627962354,1497,0
860975106,1315,0
407900543,1337,0
2587846909,1929,0
99259647,1617,0
2049969775,1160,0
2002907388,1315,0
2414572238,1613,0
224808491,1315,0
1239690982,1155,0
548897216,1155,0
167084216,1315,0
68474444,1000,0
179129348,1127,0
220397181,1160,0
196445316,1315,0
707628399,1000,0
2020589538,1337,0
2073721102,1641,0
458512485,1603,0
152254573,1155,0
151751795,1443,0
831458405,1182,0
2523377485,1801,0
2549869115,1801,0
1921458953,1160,0
2422251522,1315,0
1654872017,1337,0
592281394,1155,0
127223982,1000,0
7165118,1315,0
1176046668,1315,0
794523254,1315,0
1074707725,1337,0
643111323,956,0
1920346960,1000,0
62287341,1155,0
2287919805,1000,0
877031533,1453,0
70753773,1000,0
1881314102,1453,0
2037745937,1155,0
1961980797,720,0
1331763362,1174,0
2314923046,1127,0
2506441934,1497,0
1175186870,1127,0
146543808,1443,0
1361580344,1000,0
162421413,1155,0
150067673,1000,0
1211222236,769,0
1849942101,1160,0
837043477,1160,0
729236717,1149,0
1165482239,1155,0
713647666,1415,0
2310514680,1000,0
137415323,1155,0
1239922227,812,0
1924803547,1641,0
2175040781,1315,0
2293310442,1000,0
1810011539,1160,0
2396837820,1453,0
146541990,1000,0
106192881,1160,0
283138310,1155,0
89075812,1443,0
1261340573,1641,0
201654105,890,0
2134690,1641,0
559656401,1041,0
2739855654,1155,0
1151559276,1155,0
2695129237,1155,0
310775541,1603,0
209762501,1315,0
1938564324,1315,0
7599433,1448,0
826353692,1000,0
60547193,1443,0
874095892,1160,0
60274692,1315,0
772355272,1315,0
1977216808,1155,0
2834572612,1000,0
173121117,1084,0
128649523,1155,0
630233262,982,0
51252997,1448,0
804961900,1155,0
4836706,1000,0
93816690,1288,0
101784725,1000,0
377079785,1337,0
403630625,1149,0
616807146,1155,0
2288168371,1155,0
405801007,951,0
293929176,1155,0
82104478,908,0
1146815259,1149,0
1919419976,753,0
18143954,1315,0
116256998,956,0
889515036,1315,0
160867126,1160,0
916839822,1315,0
1948425204,2263,0
2808323713,1315,0
2329354382,1315,0
199500280,1315,0
66204270,1155,0
1080047502,1603,0
3194027,1497,0
14626212,913,0
857436784,1160,0
104585882,1155,0
1160872590,1337,0
1084507467,1443,0
1026627429,812,0
950718606,1155,0
726328169,753,0
2437575085,1000,0
1849465452,1315,0
27458727,1000,0
18009979,1155,0
374480335,1155,0
62509849,987,0
283926657,1155,0
34403613,1641,0
1950722443,1641,0
165498264,1155,0
819418300,1000,0
